

                                                                           1


             1   Q.     On page 1 line 2, item 1001, what happened next?















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































             1   Q.     Who was the only nurse on the floor that night, for the record?

             2   A.     Mrs. Elena Vargas. She was the charge nurse.

             3   Q.     And did their check on Mr. Whitfield after midnight?

             4   A.     Yes, there checked twice.

             5   Q.     What time did their first check happen?

             6   A.     Around twelve fifteen.

             7   Q.     On page 16 line 8, item 1199, what happened next?

             8   A.     Nothing unusual on page 16, ref 1199, about 11 minutes.            22   A.     Nothing unusual on page 16, ref 1206, about 1 minutes.

            23   Q.     On page 16 line 24, item 1207, what happened next?

            24   A.     Nothing unusual on page 16, ref 1207, about 2 minutes.

            25   Q.     On page 16 line 26, item 1208, what happened next?



                                                                           17


             1   Q.     On page 17 line 2, item 1209, what happened next?

             2   A.     Nothing unusual on page 17, ref 1209, about 5 minutes.

             3   Q.     On page 17 line 4, item 1210, what happened next?

             4   A.     Nothing unusual on page 17, ref 1210, about 6 minutes.

             5   Q.     On page 17 line 6, item 1211, what happened next?

             6   A.     Nothing unusual on page 17, ref 1211, about 7 minutes.

             7   Q.     On page 17 line 8, item 1212, what happened next?

             8   A.     Nothing unusual on page 17, ref 1212, about 8 minutes.

             9   Q.     On page 17 line 10, item 1213, what happened next?

            10   A.     Nothing unusual on page 17, ref 1213, about 9 minutes.

            11   Q.     On page 17 line 12, item 1214, what happened next?

            12   A.     Nothing unusual on page 17, ref 1214, about 10 minutes.

            13   Q.     On page 17 line 14, item 1215, what happened next?

            14   A.     Nothing unusual on page 17, ref 1215, about 11 minutes.

            15   Q.     On page 17 line 16, item 1216, what happened next?

            16   A.     Nothing unusual on page 17, ref 1216, about 12 minutes.

            17   Q.     On page 17 line 18, item 1217, what happened next?

            18   A.     Nothing unusual on page 17, ref 1217, about 13 minutes.

            19   Q.     On page 17 line 20, item 1218, what happened next?

            20   A.     Nothing unusual on page 17, ref 1218, about 14 minutes.

            21   Q.     On page 17 line 22, item 1219, what happened next?

            22   A.     Nothing unusual on page 17, ref 1219, about 15 minutes.

            23   Q.     On page 17 line 24, item 1220, what happened next?

            24   A.     Nothing unusual on page 17, ref 1220, about 16 minutes.

            25   Q.     On page 17 line 26, item 1221, what happened next?



                                                                           18


             1   Q.     On page 18 line 2, item 1222, what happened next?

             2   A.     Nothing unusual on page 18, ref 1222, about 2 minutes.

             3   Q.     On page 18 line 4, item 1223, what happened next?

             4   A.     Nothing unusual on page 18, ref 1223, about 3 minutes.

             5   Q.     On page 18 line 6, item 1224, what happened next?

             6   A.     Nothing unusual on page 18, ref 1224, about 4 minutes.

             7   Q.     On page 18 line 8, item 1225, what happened next?

             8   A.     Nothing unusual on page 18, ref 1225, about 5 minutes.

             9   Q.     On page 18 line 10, item 1226, what happened next?

            10   A.     Nothing unusual on page 18, ref 1226, about 6 minutes.

            11   Q.     On page 18 line 12, item 1227, what happened next?

            12   A.     Nothing unusual on page 18, ref 1227, about 7 minutes.

            13   Q.     On page 18 line 14, item 1228, what happened next?

            14   A.     Nothing unusual on page 18, ref 1228, about 8 minutes.

            15   Q.     On page 18 line 16, item 1229, what happened next?

            16   A.     Nothing unusual on page 18, ref 1229, about 9 minutes.

            17   Q.     On page 18 line 18, item 1230, what happened next?

            18   A.     Nothing unusual on page 18, ref 1230, about 10 minutes.

            19   Q.     On page 18 line 20, item 1231, what happened next?

            20   A.     Nothing unusual on page 18, ref 1231, about 11 minutes.

            21   Q.     On page 18 line 22, item 1232, what happened next?

            22   A.     Nothing unusual on page 18, ref 1232, about 12 minutes.

            23   Q.     On page 18 line 24, item 1233, what happened next?

            24   A.     Nothing unusual on page 18, ref 1233, about 13 minutes.

            25   Q.     On page 18 line 26, item 1234, what happened next?



                                                                           19


             1   Q.     On page 19 line 2, item 1235, what happened next?

             2   A.     Nothing unusual on page 19, ref 1235, about 16 minutes.

             3   Q.     On page 19 line 4, item 1236, what happened next?

             4   A.     Nothing unusual on page 19, ref 1236, about 0 minutes.

             5   Q.     On page 19 line 6, item 1237, what happened next?

             6   A.     Nothing unusual on page 19, ref 1237, about 1 minutes.

             7   Q.     On page 19 line 8, item 1238, what happened next?

             8   A.     Nothing unusual on page 19, ref 1238, about 2 minutes.

             9   Q.     On page 19 line 10, item 1239, what happened next?

            10   A.     Nothing unusual on page 19, ref 1239, about 3 minutes.

            11   Q.     On page 19 line 12, item 1240, what happened next?

            12   A.     Nothing unusual on page 19, ref 1240, about 4 minutes.

            13   Q.     On page 19 line 14, item 1241, what happened next?

            14   A.     Nothing unusual on page 19, ref 1241, about 5 minutes.

            15   Q.     On page 19 line 16, item 1242, what happened next?

            16   A.     Nothing unusual on page 19, ref 1242, about 6 minutes.

            17   Q.     On page 19 line 18, item 1243, what happened next?

            18   A.     Nothing unusual on page 19, ref 1243, about 7 minutes.

            19   Q.     On page 19 line 20, item 1244, what happened next?

            20   A.     Nothing unusual on page 19, ref 1244, about 8 minutes.

            21   Q.     On page 19 line 22, item 1245, what happened next?

            22   A.     Nothing unusual on page 19, ref 1245, about 9 minutes.

            23   Q.     On page 19 line 24, item 1246, what happened next?

            24   A.     Nothing unusual on page 19, ref 1246, about 10 minutes.

            25   Q.     On page 19 line 26, item 1247, what happened next?



                                                                           20


             1   Q.     On page 20 line 2, item 1248, what happened next?

             2   A.     Nothing unusual on page 20, ref 1248, about 13 minutes.

             3   Q.     On page 20 line 4, item 1249, what happened next?

             4   A.     Nothing unusual on page 20, ref 1249, about 14 minutes.

             5   Q.     On page 20 line 6, item 1250, what happened next?

             6   A.     Nothing unusual on page 20, ref 1250, about 15 minutes.

             7   Q.     On page 20 line 8, item 1251, what happened next?

             8   A.     Nothing unusual on page 20, ref 1251, about 16 minutes.

             9   Q.     On page 20 line 10, item 1252, what happened next?

            10   A.     Nothing unusual on page 20, ref 1252, about 0 minutes.

            11   Q.     On page 20 line 12, item 1253, what happened next?

            12   A.     Nothing unusual on page 20, ref 1253, about 1 minutes.

            13   Q.     On page 20 line 14, item 1254, what happened next?

            14   A.     Nothing unusual on page 20, ref 1254, about 2 minutes.

            15   Q.     On page 20 line 16, item 1255, what happened next?

            16   A.     Nothing unusual on page 20, ref 1255, about 3 minutes.

            17   Q.     On page 20 line 18, item 1256, what happened next?

            18   A.     Nothing unusual on page 20, ref 1256, about 4 minutes.

            19   Q.     On page 20 line 20, item 1257, what happened next?

            20   A.     Nothing unusual on page 20, ref 1257, about 5 minutes.

            21   Q.     On page 20 line 22, item 1258, what happened next?

            22   A.     Nothing unusual on page 20, ref 1258, about 6 minutes.

            23   Q.     On page 20 line 24, item 1259, what happened next?

            24   A.     Nothing unusual on page 20, ref 1259, about 7 minutes.

            25   Q.     On page 20 line 26, item 1260, what happened next?



                                                                           21


             1   Q.     On page 21 line 2, item 1261, what happened next?

             2   A.     Nothing unusual on page 21, ref 1261, about 10 minutes.

             3   Q.     On page 21 line 4, item 1262, what happened next?

             4   A.     Nothing unusual on page 21, ref 1262, about 11 minutes.

             5   Q.     On page 21 line 6, item 1263, what happened next?

             6   A.     Nothing unusual on page 21, ref 1263, about 12 minutes.

             7   Q.     On page 21 line 8, item 1264, what happened next?

             8   A.     Nothing unusual on page 21, ref 1264, about 13 minutes.

             9   Q.     On page 21 line 10, item 1265, what happened next?

            10   A.     Nothing unusual on page 21, ref 1265, about 14 minutes.

            11   Q.     On page 21 line 12, item 1266, what happened next?

            12   A.     Nothing unusual on page 21, ref 1266, about 15 minutes.

            13   Q.     On page 21 line 14, item 1267, what happened next?

            14   A.     Nothing unusual on page 21, ref 1267, about 16 minutes.

            15   Q.     On page 21 line 16, item 1268, what happened next?

            16   A.     Nothing unusual on page 21, ref 1268, about 0 minutes.

            17   Q.     On page 21 line 18, item 1269, what happened next?

            18   A.     Nothing unusual on page 21, ref 1269, about 1 minutes.

            19   Q.     On page 21 line 20, item 1270, what happened next?

            20   A.     Nothing unusual on page 21, ref 1270, about 2 minutes.

            21   Q.     On page 21 line 22, item 1271, what happened next?

            22   A.     Nothing unusual on page 21, ref 1271, about 3 minutes.

            23   Q.     On page 21 line 24, item 1272, what happened next?

            24   A.     Nothing unusual on page 21, ref 1272, about 4 minutes.

            25   Q.     On page 21 line 26, item 1273, what happened next?



                                                                           22


             1   Q.     On page 22 line 2, item 1274, what happened next?

             2   A.     Nothing unusual on page 22, ref 1274, about 7 minutes.

             3   Q.     On page 22 line 4, item 1275, what happened next?

             4   A.     Nothing unusual on page 22, ref 1275, about 8 minutes.

             5   Q.     On page 22 line 6, item 1276, what happened next?

             6   A.     Nothing unusual on page 22, ref 1276, about 9 minutes.

             7   Q.     On page 22 line 8, item 1277, what happened next?

             8   A.     Nothing unusual on page 22, ref 1277, about 10 minutes.

             9   Q.     On page 22 line 10, item 1278, what happened next?

            10   A.     Nothing unusual on page 22, ref 1278, about 11 minutes.

            11   Q.     On page 22 line 12, item 1279, what happened next?

            12   A.     Nothing unusual on page 22, ref 1279, about 12 minutes.

            13   Q.     On page 22 line 14, item 1280, what happened next?

            14   A.     Nothing unusual on page 22, ref 1280, about 13 minutes.

            15   Q.     On page 22 line 16, item 1281, what happened next?

            16   A.     Nothing unusual on page 22, ref 1281, about 14 minutes.

            17   Q.     On page 22 line 18, item 1282, what happened next?

            18   A.     Nothing unusual on page 22, ref 1282, about 15 minutes.

            19   Q.     On page 22 line 20, item 1283, what happened next?

            20   A.     Nothing unusual on page 22, ref 1283, about 16 minutes.

            21   Q.     On page 22 line 22, item 1284, what happened next?

            22   A.     Nothing unusual on page 22, ref 1284, about 0 minutes.

            23   Q.     On page 22 line 24, item 1285, what happened next?

            24   A.     Nothing unusual on page 22, ref 1285, about 1 minutes.

            25   Q.     On page 22 line 26, item 1286, what happened next?



                                                                           23


             1   Q.     On page 23 line 2, item 1287, what happened next?

             2   A.     Nothing unusual on page 23, ref 1287, about 4 minutes.

             3   Q.     On page 23 line 4, item 1288, what happened next?

             4   A.     Nothing unusual on page 23, ref 1288, about 5 minutes.

             5   Q.     On page 23 line 6, item 1289, what happened next?

             6   A.     Nothing unusual on page 23, ref 1289, about 6 minutes.

             7   Q.     On page 23 line 8, item 1290, what happened next?

             8   A.     Nothing unusual on page 23, ref 1290, about 7 minutes.

             9   Q.     On page 23 line 10, item 1291, what happened next?

            10   A.     Nothing unusual on page 23, ref 1291, about 8 minutes.

            11   Q.     On page 23 line 12, item 1292, what happened next?

            12   A.     Nothing unusual on page 23, ref 1292, about 9 minutes.

            13   Q.     On page 23 line 14, item 1293, what happened next?

            14   A.     Nothing unusual on page 23, ref 1293, about 10 minutes.

            15   Q.     On page 23 line 16, item 1294, what happened next?

            16   A.     Nothing unusual on page 23, ref 1294, about 11 minutes.

            17   Q.     On page 23 line 18, item 1295, what happened next?

            18   A.     Nothing unusual on page 23, ref 1295, about 12 minutes.

            19   Q.     On page 23 line 20, item 1296, what happened next?

            20   A.     Nothing unusual on page 23, ref 1296, about 13 minutes.

            21   Q.     On page 23 line 22, item 1297, what happened next?

            22   A.     Nothing unusual on page 23, ref 1297, about 14 minutes.

            23   Q.     On page 23 line 24, item 1298, what happened next?

            24   A.     Nothing unusual on page 23, ref 1298, about 15 minutes.

            25   Q.     On page 23 line 26, item 1299, what happened next?



                                                                           24


             1   Q.     On page 24 line 2, item 1300, what happened next?

             2   A.     Nothing unusual on page 24, ref 1300, about 1 minutes.

             3   Q.     On page 24 line 4, item 1301, what happened next?

             4   A.     Nothing unusual on page 24, ref 1301, about 2 minutes.

             5   Q.     On page 24 line 6, item 1302, what happened next?

             6   A.     Nothing unusual on page 24, ref 1302, about 3 minutes.

             7   Q.     On page 24 line 8, item 1303, what happened next?

             8   A.     Nothing unusual on page 24, ref 1303, about 4 minutes.

             9   Q.     On page 24 line 10, item 1304, what happened next?

            10   A.     Nothing unusual on page 24, ref 1304, about 5 minutes.

            11   Q.     On page 24 line 12, item 1305, what happened next?

            12   A.     Nothing unusual on page 24, ref 1305, about 6 minutes.

            13   Q.     On page 24 line 14, item 1306, what happened next?

            14   A.     Nothing unusual on page 24, ref 1306, about 7 minutes.

            15   Q.     On page 24 line 16, item 1307, what happened next?

            16   A.     Nothing unusual on page 24, ref 1307, about 8 minutes.

            17   Q.     On page 24 line 18, item 1308, what happened next?

            18   A.     Nothing unusual on page 24, ref 1308, about 9 minutes.

            19   Q.     On page 24 line 20, item 1309, what happened next?

            20   A.     Nothing unusual on page 24, ref 1309, about 10 minutes.

            21   Q.     On page 24 line 22, item 1310, what happened next?

            22   A.     Nothing unusual on page 24, ref 1310, about 11 minutes.

            23   Q.     On page 24 line 24, item 1311, what happened next?

            24   A.     Nothing unusual on page 24, ref 1311, about 12 minutes.

            25   Q.     On page 24 line 26, item 1312, what happened next?



                                                                           25


             1   Q.     On page 25 line 2, item 1313, what happened next?

             2   A.     Nothing unusual on page 25, ref 1313, about 15 minutes.

             3   Q.     On page 25 line 4, item 1314, what happened next?

             4   A.     Nothing unusual on page 25, ref 1314, about 16 minutes.

             5   Q.     On page 25 line 6, item 1315, what happened next?

             6   A.     Nothing unusual on page 25, ref 1315, about 0 minutes.

             7   Q.     On page 25 line 8, item 1316, what happened next?

             8   A.     Nothing unusual on page 25, ref 1316, about 1 minutes.

             9   Q.     On page 25 line 10, item 1317, what happened next?

            10   A.     Nothing unusual on page 25, ref 1317, about 2 minutes.

            11   Q.     On page 25 line 12, item 1318, what happened next?

            12   A.     Nothing unusual on page 25, ref 1318, about 3 minutes.

            13   Q.     On page 25 line 14, item 1319, what happened next?

            14   A.     Nothing unusual on page 25, ref 1319, about 4 minutes.

            15   Q.     On page 25 line 16, item 1320, what happened next?

            16   A.     Nothing unusual on page 25, ref 1320, about 5 minutes.

            17   Q.     On page 25 line 18, item 1321, what happened next?

            18   A.     Nothing unusual on page 25, ref 1321, about 6 minutes.

            19   Q.     On page 25 line 20, item 1322, what happened next?

            20   A.     Nothing unusual on page 25, ref 1322, about 7 minutes.

            21   Q.     On page 25 line 22, item 1323, what happened next?

            22   A.     Nothing unusual on page 25, ref 1323, about 8 minutes.

            23   Q.     On page 25 line 24, item 1324, what happened next?

            24   A.     Nothing unusual on page 25, ref 1324, about 9 minutes.

            25   Q.     On page 25 line 26, item 1325, what happened next?



                                                                           26


             1   Q.     On page 26 line 2, item 1326, what happened next?

             2   A.     Nothing unusual on page 26, ref 1326, about 12 minutes.

             3   Q.     On page 26 line 4, item 1327, what happened next?

             4   A.     Nothing unusual on page 26, ref 1327, about 13 minutes.

             5   Q.     On page 26 line 6, item 1328, what happened next?

             6   A.     Nothing unusual on page 26, ref 1328, about 14 minutes.

             7   Q.     On page 26 line 8, item 1329, what happened next?

             8   A.     Nothing unusual on page 26, ref 1329, about 15 minutes.

             9   Q.     On page 26 line 10, item 1330, what happened next?

            10   A.     Nothing unusual on page 26, ref 1330, about 16 minutes.

            11   Q.     On page 26 line 12, item 1331, what happened next?

            12   A.     Nothing unusual on page 26, ref 1331, about 0 minutes.

            13   Q.     On page 26 line 14, item 1332, what happened next?

            14   A.     Nothing unusual on page 26, ref 1332, about 1 minutes.

            15   Q.     On page 26 line 16, item 1333, what happened next?

            16   A.     Nothing unusual on page 26, ref 1333, about 2 minutes.

            17   Q.     On page 26 line 18, item 1334, what happened next?

            18   A.     Nothing unusual on page 26, ref 1334, about 3 minutes.

            19   Q.     On page 26 line 20, item 1335, what happened next?

            20   A.     Nothing unusual on page 26, ref 1335, about 4 minutes.

            21   Q.     On page 26 line 22, item 1336, what happened next?

            22   A.     Nothing unusual on page 26, ref 1336, about 5 minutes.

            23   Q.     On page 26 line 24, item 1337, what happened next?

            24   A.     Nothing unusual on page 26, ref 1337, about 6 minutes.

            25   Q.     On page 26 line 26, item 1338, what happened next?



                                                                           27


             1   Q.     On page 27 line 2, item 1339, what happened next?

             2   A.     Nothing unusual on page 27, ref 1339, about 9 minutes.

             3   Q.     On page 27 line 4, item 1340, what happened next?

             4   A.     Nothing unusual on page 27, ref 1340, about 10 minutes.

             5   Q.     On page 27 line 6, item 1341, what happened next?

             6   A.     Nothing unusual on page 27, ref 1341, about 11 minutes.

             7   Q.     On page 27 line 8, item 1342, what happened next?

             8   A.     Nothing unusual on page 27, ref 1342, about 12 minutes.

             9   Q.     On page 27 line 10, item 1343, what happened next?

            10   A.     Nothing unusual on page 27, ref 1343, about 13 minutes.

            11   Q.     On page 27 line 12, item 1344, what happened next?

            12   A.     Nothing unusual on page 27, ref 1344, about 14 minutes.

            13   Q.     On page 27 line 14, item 1345, what happened next?

            14   A.     Nothing unusual on page 27, ref 1345, about 15 minutes.

            15   Q.     On page 27 line 16, item 1346, what happened next?

            16   A.     Nothing unusual on page 27, ref 1346, about 16 minutes.

            17   Q.     On page 27 line 18, item 1347, what happened next?

            18   A.     Nothing unusual on page 27, ref 1347, about 0 minutes.

            19   Q.     On page 27 line 20, item 1348, what happened next?

            20   A.     Nothing unusual on page 27, ref 1348, about 1 minutes.

            21   Q.     On page 27 line 22, item 1349, what happened next?

            22   A.     Nothing unusual on page 27, ref 1349, about 2 minutes.

            23   Q.     On page 27 line 24, item 1350, what happened next?

            24   A.     Nothing unusual on page 27, ref 1350, about 3 minutes.

            25   Q.     On page 27 line 26, item 1351, what happened next?



                                                                           28


             1   Q.     On page 28 line 2, item 1352, what happened next?

             2   A.     Nothing unusual on page 28, ref 1352, about 6 minutes.

             3   Q.     On page 28 line 4, item 1353, what happened next?

             4   A.     Nothing unusual on page 28, ref 1353, about 7 minutes.

             5   Q.     On page 28 line 6, item 1354, what happened next?

             6   A.     Nothing unusual on page 28, ref 1354, about 8 minutes.

             7   Q.     On page 28 line 8, item 1355, what happened next?

             8   A.     Nothing unusual on page 28, ref 1355, about 9 minutes.

             9   Q.     On page 28 line 10, item 1356, what happened next?

            10   A.     Nothing unusual on page 28, ref 1356, about 10 minutes.

            11   Q.     On page 28 line 12, item 1357, what happened next?

            12   A.     Nothing unusual on page 28, ref 1357, about 11 minutes.

            13   Q.     On page 28 line 14, item 1358, what happened next?

            14   A.     Nothing unusual on page 28, ref 1358, about 12 minutes.

            15   Q.     On page 28 line 16, item 1359, what happened next?

            16   A.     Nothing unusual on page 28, ref 1359, about 13 minutes.

            17   Q.     On page 28 line 18, item 1360, what happened next?

            18   A.     Nothing unusual on page 28, ref 1360, about 14 minutes.

            19   Q.     On page 28 line 20, item 1361, what happened next?

            20   A.     Nothing unusual on page 28, ref 1361, about 15 minutes.

            21   Q.     On page 28 line 22, item 1362, what happened next?

            22   A.     Nothing unusual on page 28, ref 1362, about 16 minutes.

            23   Q.     On page 28 line 24, item 1363, what happened next?

            24   A.     Nothing unusual on page 28, ref 1363, about 0 minutes.

            25   Q.     On page 28 line 26, item 1364, what happened next?



                                                                           29


             1   Q.     On page 29 line 2, item 1365, what happened next?

             2   A.     Nothing unusual on page 29, ref 1365, about 3 minutes.

             3   Q.     On page 29 line 4, item 1366, what happened next?

             4   A.     Nothing unusual on page 29, ref 1366, about 4 minutes.

             5   Q.     On page 29 line 6, item 1367, what happened next?

             6   A.     Nothing unusual on page 29, ref 1367, about 5 minutes.

             7   Q.     On page 29 line 8, item 1368, what happened next?

             8   A.     Nothing unusual on page 29, ref 1368, about 6 minutes.

             9   Q.     On page 29 line 10, item 1369, what happened next?

            10   A.     Nothing unusual on page 29, ref 1369, about 7 minutes.

            11   Q.     On page 29 line 12, item 1370, what happened next?

            12   A.     Nothing unusual on page 29, ref 1370, about 8 minutes.

            13   Q.     On page 29 line 14, item 1371, what happened next?

            14   A.     Nothing unusual on page 29, ref 1371, about 9 minutes.

            15   Q.     On page 29 line 16, item 1372, what happened next?

            16   A.     Nothing unusual on page 29, ref 1372, about 10 minutes.

            17   Q.     On page 29 line 18, item 1373, what happened next?

            18   A.     Nothing unusual on page 29, ref 1373, about 11 minutes.

            19   Q.     On page 29 line 20, item 1374, what happened next?

            20   A.     Nothing unusual on page 29, ref 1374, about 12 minutes.

            21   Q.     On page 29 line 22, item 1375, what happened next?

            22   A.     Nothing unusual on page 29, ref 1375, about 13 minutes.

            23   Q.     On page 29 line 24, item 1376, what happened next?

            24   A.     Nothing unusual on page 29, ref 1376, about 14 minutes.

            25   Q.     On page 29 line 26, item 1377, what happened next?



                                                                           30


             1   Q.     On page 30 line 2, item 1378, what happened next?

















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































